"","team","abbreviations","zip","med_sal"
"1","Philadelphia 76ers","PHI","19120",15015
"2","Brooklyn Nets","BKN","11226",28735
"3","Milwaukee Bucks","MIL","53215",16897
"4","New York Knicks","NYK","10001",88795
"5","Atlanta Hawks","ATL","30043",31430
"6","Miami Heat","MIA","33024",25015
"7","Boston Celtics","BOS","02128",26569
"8","Utah Jazz","UTA","84120",21565
"9","Phoenix Suns","PHX","85032",24248
"10","Denver Nuggets","DEN","80219",20772
"11","Los Angeles Clippers","LAC","90011",12931
"12","Los Angeles Clippers","LAC","90011",12931
"13","Dallas Mavericks","DAL","75217",36274
"14","Los Angeles Lakers","LAL","90011",12931
"15","Los Angeles Lakers","LAL","90011",12931
"16","Portland Trail Blazers","POR","97229",57963
"17","Golden State Warriors","GSW","94601",39601
"18","Memphis Grizzlies","MEM","38109",14742
"19","Washington Wizards","WAS","20011",38579
"20","Indiana Pacers","IND","46227",36452
"21","Charlotte Hornets","CHA","28269",33515
"22","San Antonio Spurs","SAS","78245",25894
"23","Chicago Bulls","CHI","60629",14295
"24","New Orleans Pelicans","NOP","70726",29593
"25","Sacramento Kings","SAC","95823",19714
"26","Minnesota Timberwolves","MIN","55407",26092
"27","Cleveland Cavaliers","CLE","44130",30981
"28","Oklahoma City Thunder","OKC","73099",31777
"29","Orlando Magic","ORL","32828",30846
"30","Detroit Pistons","DET","48228",14928
"31","Houston Rockets","HOU","77084",27533
