"","Team","Abbreviations","Zip"
"1","Philadelphia 76ers","PHI","19120"
"2","Brooklyn Nets","BKN","11226"
"3","Milwaukee Bucks","MIL","53215"
"4","New York Knicks","NYK","10121"
"5","Atlanta Hawks","ATL","30043"
"6","Miami Heat","MIA","33024"
"7","Boston Celtics","BOS","02128"
"8","Utah Jazz","UTA","84120"
"9","Phoenix Suns","PHX","85032"
"10","Denver Nuggets","DEN","80219"
"11","Los Angeles Clippers","LAC","90011"
"12","Dallas Mavericks","DAL","75217"
"13","Los Angeles Lakers","LAL","90011"
"14","Portland Trail Blazers","POR","97229"
"15","Golden State Warriors","GSW","94601"
"16","Memphis Grizzlies","MEM","38109"
"17","Washington Wizards","WAS","20011"
"18","Indiana Pacers","IND","46227"
"19","Charlotte Hornets","CHA","28269"
"20","San Antonio Spurs","SAS","78245"
"21","Chicago Bulls","CHI","60629"
"22","New Orleans Pelicans","NOP","70726"
"23","Sacramento Kings","SAC","95823"
"24","Minnesota Timberwolves","MIN","55407"
"25","Cleveland Cavaliers","CLE","44130"
"26","Oklahoma City Thunder","OKC","73099"
"27","Orlando Magic","ORL","32828"
"28","Detroit Pistons","DET","48228"
"29","Houston Rockets","HOU","77084"
