"","Zip Codes","Med_Sal"
"1","19120",15015
"2","11226",28735
"3","53215",16897
"4","10001",88795
"5","30043",31430
"6","33024",25015
"7","02128",26569
"8","84120",21565
"9","85032",24248
"10","80219",20772
"11","90011",12931
"12","75217",36274
"13","90011",12931
"14","97229",57963
"15","94601",39601
"16","38109",14742
"17","20011",38579
"18","46227",36452
"19","28269",33515
"20","78245",25894
"21","60629",14295
"22","70726",29593
"23","95823",19714
"24","55407",26092
"25","44130",30981
"26","73099",31777
"27","32828",30846
"28","48228",14928
"29","77084",27533
